id,idade,genero,estado_civil,educacao,regime_trabalho,data_contratacao,data_demissao,tipo_demissao,cargo,salario_atual,data_ultimo_feedback,data_ultimo_aumento,data_ultima_mudanca_cargo,nota_avaliacao,acompanhamento_psicologo,qtde_projetos,qtde_clientes,nivel_satisfacao_gestor,churn
EMP0357,50,Outro,Divorciado(a),PhD,Remoto,2020-01-31,,,Tech Lead,10395,2022-02-02,2024-07-05,2024-07-02,8.3,True,8,3,9.4,0
EMP0289,29,M,Divorciado(a),Technical Degree,Híbrido,2020-02-01,,,Tech Lead,19385,2024-02-19,2020-11-22,2022-05-20,9.4,False,6,1,2.8,0
EMP1780,41,F,Divorciado(a),Master,Remoto,2020-02-01,,,QA Engineer,9033,2023-07-30,2023-03-23,2022-12-19,8.3,True,3,5,3.4,0
EMP1427,52,F,Casado(a),Technical Degree,Híbrido,2020-02-01,,,Senior Developer,24622,2024-03-20,2024-01-12,2020-06-20,9.3,True,7,5,1.5,0
EMP0492,27,M,Divorciado(a),Bachelor,Híbrido,2020-02-03,,,QA Engineer,6551,2023-08-20,2022-12-24,2023-04-25,7.5,True,8,1,4.8,0
EMP0500,35,Outro,Solteiro(a),PhD,Remoto,2020-02-03,2022-03-05,Voluntária,QA Engineer,6910,2020-04-12,2021-01-21,2020-10-06,6.5,False,2,3,7.8,1
EMP0742,49,Outro,Divorciado(a),Bachelor,Híbrido,2020-02-05,,,UX Designer,18746,2022-11-29,2024-08-27,2024-01-04,7.6,False,1,6,3.5,0
EMP0486,38,Outro,Viúvo(a),Bachelor,Presencial,2020-02-08,,,UX Designer,13802,2021-07-16,2021-04-24,2024-10-14,9.4,True,1,4,7.5,0
EMP1378,47,Outro,Divorciado(a),PhD,Remoto,2020-02-08,,,Product Manager,22180,2024-02-20,2024-03-08,2023-10-25,6.7,True,9,2,5.0,0
EMP1566,27,F,Casado(a),Master,Híbrido,2020-02-08,,,DevOps Engineer,9442,2023-07-31,2022-02-22,2024-06-15,7.2,False,5,7,1.2,0
EMP1526,41,M,Divorciado(a),Master,Presencial,2020-02-09,2021-01-15,Voluntária,Data Scientist,23732,2020-03-05,2020-11-08,2020-02-20,8.2,True,2,6,4.9,1
EMP1480,33,F,Viúvo(a),Master,Remoto,2020-02-10,,,Junior Developer,12655,2022-06-02,2020-10-15,2022-01-29,9.3,True,4,1,7.6,0
EMP0498,27,Outro,Casado(a),Technical Degree,Híbrido,2020-02-11,2022-05-20,Voluntária,QA Engineer,14599,2021-06-06,2020-03-26,2021-11-22,6.3,True,6,7,1.6,1
EMP1556,37,M,Viúvo(a),Technical Degree,Remoto,2020-02-13,,,UX Designer,24290,2023-12-25,2022-03-27,2022-02-15,8.3,True,1,5,7.9,0
EMP1020,53,Outro,Viúvo(a),Master,Híbrido,2020-02-14,,,Product Manager,8736,2020-12-12,2023-05-30,2024-01-27,7.8,False,4,7,6.7,0
EMP1603,50,Outro,Casado(a),Technical Degree,Remoto,2020-02-14,,,QA Engineer,11409,2024-06-12,2024-09-23,2023-12-27,8.0,False,6,1,2.7,0
EMP0120,34,M,Solteiro(a),Master,Presencial,2020-02-18,2023-11-30,Involuntária,Junior Developer,23088,2021-03-19,2022-05-14,2021-12-21,7.3,True,9,5,7.1,1
EMP1301,39,Outro,Divorciado(a),Master,Híbrido,2020-02-18,,,DevOps Engineer,17648,2022-09-15,2024-02-25,2021-12-28,6.8,True,4,5,2.7,0
EMP0115,47,M,Solteiro(a),Master,Presencial,2020-02-20,,,Data Scientist,23180,2021-02-21,2024-04-07,2021-12-31,8.5,True,1,1,9.3,0
EMP0817,24,M,Casado(a),Master,Híbrido,2020-02-20,,,Junior Developer,19114,2022-11-04,2020-09-21,2021-10-17,7.8,True,2,7,8.6,0
EMP1701,48,F,Divorciado(a),Master,Presencial,2020-02-21,,,UX Designer,10408,2021-02-21,2022-09-07,2023-06-13,6.6,False,6,4,3.5,0
EMP1767,26,M,Divorciado(a),Master,Remoto,2020-02-21,,,UX Designer,14755,2024-08-14,2022-11-05,2022-12-11,9.4,True,1,6,3.2,0
EMP1497,43,Outro,Casado(a),PhD,Híbrido,2020-02-23,,,DevOps Engineer,12529,2024-06-19,2022-05-16,2023-01-31,6.4,True,7,5,1.1,0
EMP1677,26,F,Solteiro(a),PhD,Remoto,2020-02-23,,,UX Designer,22475,2024-06-02,2023-07-30,2023-08-09,8.4,False,9,3,5.3,0
EMP0479,39,Outro,Casado(a),Technical Degree,Híbrido,2020-02-24,,,Tech Lead,12099,2022-06-22,2020-06-12,2022-05-15,7.1,True,8,1,4.3,0
EMP0176,24,Outro,Solteiro(a),Master,Híbrido,2020-02-25,,,Senior Developer,20751,2020-08-14,2023-10-03,2022-07-21,7.9,False,9,7,9.7,0
EMP0268,22,M,Solteiro(a),Master,Híbrido,2020-02-29,,,Tech Lead,18364,2023-09-11,2023-07-29,2024-08-22,7.7,True,6,7,9.0,0
EMP0829,24,F,Divorciado(a),Technical Degree,Remoto,2020-02-29,2024-05-18,Voluntária,UX Designer,13953,2023-08-09,2021-04-08,2022-09-06,9.1,False,8,4,9.8,1
EMP0172,23,M,Solteiro(a),Master,Presencial,2020-02-29,,,Junior Developer,10299,2022-05-05,2022-01-17,2023-11-29,7.1,False,4,2,5.6,0
EMP1786,38,F,Divorciado(a),Master,Remoto,2020-02-29,,,Data Scientist,22001,2022-10-20,2023-12-13,2020-06-11,8.3,True,2,5,4.6,0
EMP1342,36,M,Divorciado(a),Bachelor,Remoto,2020-03-04,,,Data Scientist,11205,2024-09-23,2023-06-08,2023-06-02,7.7,False,3,4,2.1,0
EMP1313,34,Outro,Solteiro(a),Technical Degree,Remoto,2020-03-04,,,QA Engineer,15731,2022-10-30,2021-01-18,2023-03-01,6.7,False,5,1,9.5,0
EMP0005,23,Outro,Viúvo(a),PhD,Híbrido,2020-03-06,,,Tech Lead,19541,2020-05-06,2020-09-13,2021-05-27,7.6,False,8,4,3.8,0
EMP0240,30,M,Solteiro(a),Bachelor,Híbrido,2020-03-07,,,Tech Lead,16834,2021-06-24,2021-10-18,2024-02-22,8.0,True,7,5,7.1,0
EMP1457,26,Outro,Casado(a),Master,Remoto,2020-03-07,,,Junior Developer,24369,2022-12-31,2022-02-16,2022-05-22,6.6,True,6,3,8.2,0
EMP0343,36,M,Solteiro(a),Bachelor,Remoto,2020-03-08,,,Data Scientist,7382,2024-01-20,2022-04-05,2021-05-26,6.9,True,3,3,1.6,0
EMP1889,46,M,Divorciado(a),Bachelor,Híbrido,2020-03-10,,,Tech Lead,18264,2020-04-27,2023-08-30,2020-09-14,9.1,True,2,4,1.5,0
EMP1600,27,M,Casado(a),Master,Remoto,2020-03-11,,,Junior Developer,6329,2021-10-14,2023-07-14,2020-04-13,7.8,True,4,4,6.1,0
EMP0526,27,M,Divorciado(a),PhD,Presencial,2020-03-12,,,Product Manager,11984,2020-11-25,2020-07-27,2021-07-08,7.6,False,5,4,2.8,0
EMP1904,30,Outro,Viúvo(a),Bachelor,Híbrido,2020-03-12,,,Junior Developer,16883,2020-08-08,2020-08-03,2023-05-26,8.7,True,8,2,1.5,0
EMP1728,37,M,Divorciado(a),Bachelor,Presencial,2020-03-14,,,QA Engineer,16482,2020-09-20,2024-07-04,2021-11-16,8.4,False,7,2,7.2,0
EMP0638,29,F,Casado(a),Master,Presencial,2020-03-15,,,Product Manager,24298,2022-06-06,2024-08-14,2022-12-24,7.5,True,1,7,5.6,0
EMP0260,48,F,Viúvo(a),PhD,Presencial,2020-03-16,,,Product Manager,14094,2022-10-03,2020-09-12,2021-12-20,9.8,False,9,4,1.0,0
EMP0506,50,F,Solteiro(a),Bachelor,Híbrido,2020-03-16,2021-12-06,Voluntária,Senior Developer,15833,2020-10-08,2020-04-29,2020-10-06,9.7,True,1,5,3.8,1
EMP1344,29,M,Casado(a),Technical Degree,Híbrido,2020-03-16,,,Junior Developer,24352,2023-04-19,2021-08-31,2023-04-03,9.0,True,9,3,5.8,0
EMP1086,46,F,Casado(a),Master,Remoto,2020-03-17,,,UX Designer,24868,2021-03-04,2021-10-02,2022-06-20,8.3,True,9,7,5.5,0
EMP0637,45,M,Divorciado(a),Master,Presencial,2020-03-17,,,QA Engineer,13529,2021-03-10,2022-07-20,2021-03-12,6.5,True,9,4,5.1,0
EMP1606,27,Outro,Solteiro(a),Bachelor,Remoto,2020-03-18,,,Senior Developer,9664,2022-10-16,2022-03-16,2021-01-31,6.8,False,9,4,1.7,0
EMP1907,24,Outro,Viúvo(a),Master,Presencial,2020-03-18,,,DevOps Engineer,7694,2023-12-09,2022-05-26,2021-09-14,6.2,True,6,6,6.9,0
EMP0462,39,Outro,Casado(a),Master,Remoto,2020-03-18,,,Senior Developer,9270,2023-12-03,2022-02-05,2024-07-04,9.7,True,2,7,4.1,0
EMP1302,36,M,Divorciado(a),PhD,Híbrido,2020-03-18,,,Product Manager,10919,2020-09-13,2020-08-15,2020-07-07,7.2,False,5,5,6.5,0
EMP1375,37,M,Casado(a),PhD,Presencial,2020-03-21,,,QA Engineer,22622,2023-06-06,2021-01-15,2020-07-13,7.4,True,2,6,9.1,0
EMP1919,53,F,Solteiro(a),Technical Degree,Presencial,2020-03-21,,,Senior Developer,6265,2022-05-16,2023-12-04,2021-04-16,7.6,False,2,4,2.2,0
EMP0444,51,M,Solteiro(a),PhD,Remoto,2020-03-21,2021-09-09,Voluntária,UX Designer,21890,2021-06-12,2021-06-13,2021-09-08,8.6,False,6,4,4.6,1
EMP0920,34,F,Viúvo(a),Master,Híbrido,2020-03-22,2020-08-22,Involuntária,Product Manager,14617,2020-07-01,2020-07-29,2020-06-03,6.7,False,2,6,5.0,1
EMP0111,50,F,Solteiro(a),Bachelor,Remoto,2020-03-22,,,Junior Developer,5271,2022-03-24,2021-05-26,2024-01-17,9.5,True,9,2,1.8,0
EMP0253,25,F,Viúvo(a),Bachelor,Híbrido,2020-03-23,,,Tech Lead,19973,2024-07-02,2024-06-18,2021-03-16,7.6,True,6,4,9.8,0
EMP0593,36,Outro,Solteiro(a),Master,Presencial,2020-03-23,,,Senior Developer,22987,2020-06-23,2020-06-10,2020-12-28,7.8,True,2,2,3.7,0
EMP1583,30,F,Divorciado(a),Technical Degree,Presencial,2020-03-24,,,Product Manager,13787,2024-05-05,2020-08-15,2021-12-06,9.4,False,9,4,2.4,0
EMP1618,23,Outro,Casado(a),Bachelor,Presencial,2020-03-25,,,Senior Developer,5530,2022-01-07,2023-04-04,2023-05-25,7.2,False,9,1,6.1,0
EMP0507,53,F,Divorciado(a),Master,Presencial,2020-03-26,,,UX Designer,18204,2022-01-01,2021-12-21,2023-02-14,7.5,True,1,2,9.7,0
EMP1074,46,F,Casado(a),Master,Presencial,2020-03-28,2022-09-11,Involuntária,Senior Developer,11749,2020-06-16,2022-02-25,2021-06-16,9.9,True,4,1,4.9,1
EMP0466,29,Outro,Divorciado(a),Master,Híbrido,2020-03-30,,,Data Scientist,11040,2022-07-19,2022-04-15,2024-01-14,7.6,False,7,3,7.0,0
EMP0943,49,Outro,Casado(a),Master,Remoto,2020-03-31,,,DevOps Engineer,8066,2020-04-25,2021-08-13,2020-07-03,6.5,False,1,3,5.6,0
EMP0502,22,F,Viúvo(a),PhD,Híbrido,2020-03-31,,,DevOps Engineer,24846,2022-03-22,2023-04-23,2022-02-22,6.8,True,2,6,9.6,0
EMP0103,30,F,Casado(a),Bachelor,Híbrido,2020-03-31,,,Junior Developer,6240,2020-04-07,2022-02-12,2024-07-27,8.8,False,9,7,1.7,0
EMP0336,53,F,Divorciado(a),Master,Remoto,2020-04-02,,,Product Manager,16171,2020-06-17,2021-12-16,2023-01-05,6.5,False,7,7,3.2,0
EMP0675,41,F,Solteiro(a),Technical Degree,Presencial,2020-04-02,,,Tech Lead,23608,2022-08-17,2022-03-08,2024-03-06,9.1,True,6,6,9.7,0
EMP0585,52,M,Viúvo(a),Technical Degree,Presencial,2020-04-02,,,Senior Developer,21821,2022-07-01,2020-07-15,2023-06-13,8.9,False,6,6,9.4,0
EMP1933,38,M,Viúvo(a),Technical Degree,Presencial,2020-04-03,2021-09-12,Voluntária,Senior Developer,11949,2020-08-14,2020-04-17,2020-09-26,9.0,False,3,5,7.7,1
EMP1744,30,M,Viúvo(a),Technical Degree,Híbrido,2020-04-03,,,QA Engineer,11771,2022-02-15,2022-03-20,2023-05-25,8.7,False,5,4,6.3,0
EMP0562,53,Outro,Viúvo(a),Master,Presencial,2020-04-03,,,Data Scientist,6502,2023-11-07,2024-07-30,2023-06-28,8.9,True,4,2,2.2,0
EMP0144,35,Outro,Solteiro(a),Technical Degree,Remoto,2020-04-04,,,Junior Developer,7113,2021-08-18,2022-12-03,2023-09-07,9.4,True,1,4,2.2,0
EMP0884,45,M,Solteiro(a),PhD,Híbrido,2020-04-04,,,Product Manager,22502,2020-10-24,2023-10-08,2024-08-26,7.1,False,6,5,7.2,0
EMP1357,39,Outro,Divorciado(a),Master,Presencial,2020-04-05,,,QA Engineer,16164,2020-06-25,2023-11-24,2022-01-28,7.1,False,9,1,2.6,0
EMP1174,36,Outro,Solteiro(a),PhD,Híbrido,2020-04-08,,,Junior Developer,11385,2024-02-19,2020-12-01,2022-08-09,6.1,False,5,1,9.5,0
EMP0692,33,F,Divorciado(a),Technical Degree,Remoto,2020-04-09,,,DevOps Engineer,10411,2021-08-23,2024-06-03,2020-07-08,6.6,True,2,1,6.8,0
EMP1577,29,F,Viúvo(a),Master,Presencial,2020-04-10,,,Data Scientist,23595,2022-04-30,2021-07-06,2023-09-02,7.6,True,7,5,2.6,0
EMP0151,22,Outro,Divorciado(a),Master,Presencial,2020-04-12,,,Senior Developer,20504,2023-05-28,2021-09-04,2020-12-16,9.3,True,8,1,1.3,0
EMP1620,46,Outro,Divorciado(a),Technical Degree,Híbrido,2020-04-13,,,Junior Developer,7216,2024-01-22,2024-05-20,2022-06-26,10.0,False,1,4,5.9,0
EMP0183,38,Outro,Solteiro(a),Technical Degree,Presencial,2020-04-16,,,Product Manager,15749,2022-04-02,2021-07-19,2023-12-08,6.6,False,2,3,4.4,0
EMP0474,45,M,Solteiro(a),PhD,Presencial,2020-04-16,,,QA Engineer,15860,2023-11-20,2022-12-26,2022-05-16,9.2,False,1,7,2.4,0
EMP1544,25,M,Divorciado(a),Technical Degree,Remoto,2020-04-16,2024-02-10,Involuntária,DevOps Engineer,21543,2021-07-06,2020-12-03,2021-08-12,7.1,False,9,6,5.2,1
EMP0401,39,M,Solteiro(a),Master,Remoto,2020-04-17,,,QA Engineer,16126,2021-03-01,2021-03-05,2024-07-10,8.0,True,3,1,6.8,0
EMP1262,43,F,Casado(a),Master,Remoto,2020-04-18,,,Tech Lead,6293,2024-01-20,2020-08-11,2021-06-01,6.9,True,4,5,4.4,0
EMP1851,25,M,Viúvo(a),Bachelor,Híbrido,2020-04-18,,,Senior Developer,24541,2022-03-22,2023-04-18,2024-08-29,9.2,True,4,6,2.4,0
EMP0765,25,Outro,Viúvo(a),PhD,Híbrido,2020-04-19,,,QA Engineer,17243,2020-11-05,2022-10-01,2021-08-07,7.6,False,7,7,4.8,0
EMP1144,31,M,Divorciado(a),Master,Híbrido,2020-04-19,2023-12-09,Involuntária,Data Scientist,17438,2023-07-28,2023-07-21,2023-10-12,8.8,True,4,4,1.6,1
EMP1721,35,Outro,Solteiro(a),PhD,Remoto,2020-04-22,,,Data Scientist,21490,2023-12-20,2022-04-06,2020-07-06,9.8,False,5,3,4.9,0
EMP0752,38,Outro,Divorciado(a),PhD,Híbrido,2020-04-24,2023-12-19,Voluntária,Tech Lead,10499,2020-05-13,2021-04-09,2020-10-10,7.2,False,8,5,8.7,1
EMP1890,51,M,Divorciado(a),Bachelor,Presencial,2020-04-26,,,UX Designer,15566,2023-08-25,2023-12-31,2021-07-14,6.4,False,1,3,7.0,0
EMP0080,50,F,Solteiro(a),Bachelor,Híbrido,2020-04-27,,,DevOps Engineer,7336,2020-08-07,2023-08-06,2022-12-29,6.1,False,2,2,5.4,0
EMP0705,27,Outro,Casado(a),PhD,Híbrido,2020-04-28,,,Junior Developer,24131,2023-06-23,2022-08-21,2022-08-29,6.7,True,2,1,5.9,0
EMP1007,34,Outro,Casado(a),Master,Remoto,2020-04-29,,,DevOps Engineer,6408,2022-12-21,2023-04-18,2022-05-01,9.3,True,3,6,6.9,0
EMP1734,51,F,Casado(a),Technical Degree,Remoto,2020-04-29,,,QA Engineer,6674,2020-12-08,2023-07-13,2024-06-01,8.0,False,3,1,9.3,0
EMP1980,47,M,Solteiro(a),Technical Degree,Híbrido,2020-05-02,,,UX Designer,6718,2021-11-27,2021-02-05,2020-12-15,6.7,True,3,1,2.2,0
EMP1476,41,M,Divorciado(a),Bachelor,Híbrido,2020-05-02,,,Tech Lead,10616,2021-07-17,2021-10-04,2023-01-02,9.9,False,7,1,6.4,0
EMP0737,31,Outro,Divorciado(a),Bachelor,Presencial,2020-05-03,,,DevOps Engineer,5372,2023-10-20,2023-11-30,2024-01-28,8.0,True,4,7,6.7,0
EMP0442,25,Outro,Viúvo(a),Bachelor,Presencial,2020-05-06,,,Tech Lead,19312,2022-11-14,2020-12-03,2022-04-09,7.0,True,2,4,6.2,0
EMP0985,54,Outro,Viúvo(a),Master,Presencial,2020-05-06,,,QA Engineer,11406,2024-09-21,2021-08-04,2021-01-28,9.5,True,2,5,7.2,0
EMP0833,23,F,Solteiro(a),Master,Remoto,2020-05-08,,,Tech Lead,14046,2023-08-03,2020-12-02,2023-05-12,9.6,False,9,6,3.7,0
EMP1208,31,M,Viúvo(a),Master,Presencial,2020-05-09,,,Tech Lead,23669,2021-10-26,2024-01-10,2022-02-11,8.0,False,2,5,9.0,0
EMP1568,27,Outro,Casado(a),Master,Remoto,2020-05-09,,,Product Manager,14133,2024-01-17,2023-05-17,2022-07-11,7.0,True,6,5,8.8,0
EMP0676,38,F,Viúvo(a),Bachelor,Presencial,2020-05-10,,,Data Scientist,11642,2023-05-23,2020-09-10,2020-09-28,7.6,True,6,2,5.4,0
EMP1496,37,Outro,Viúvo(a),PhD,Híbrido,2020-05-10,,,DevOps Engineer,8540,2023-01-04,2023-06-07,2020-08-28,8.5,True,9,5,6.6,0
EMP0056,27,M,Solteiro(a),PhD,Híbrido,2020-05-11,2022-05-03,Voluntária,DevOps Engineer,8636,2020-06-01,2022-01-03,2021-11-29,9.8,False,3,1,3.2,1
EMP0163,25,F,Viúvo(a),PhD,Presencial,2020-05-11,,,Senior Developer,10010,2022-09-07,2022-08-23,2022-03-19,8.5,True,7,2,2.4,0
EMP1298,41,F,Solteiro(a),Technical Degree,Híbrido,2020-05-14,,,Product Manager,20982,2021-07-19,2024-02-15,2023-11-24,9.4,True,7,4,2.7,0
EMP0690,27,Outro,Divorciado(a),PhD,Presencial,2020-05-17,,,Data Scientist,22188,2020-12-09,2023-09-15,2020-07-24,6.1,False,2,6,7.0,0
EMP0434,46,Outro,Casado(a),Master,Híbrido,2020-05-19,2023-02-03,Voluntária,Junior Developer,14462,2021-08-14,2022-02-24,2021-03-25,7.9,False,7,3,8.5,1
EMP0184,50,F,Casado(a),Bachelor,Remoto,2020-05-20,2024-02-13,Voluntária,QA Engineer,5016,2020-08-10,2020-07-22,2021-10-08,8.6,True,1,2,4.9,1
EMP1562,29,F,Viúvo(a),PhD,Presencial,2020-05-21,2023-06-12,Involuntária,Junior Developer,13633,2021-04-03,2022-11-27,2022-01-16,6.1,True,7,5,3.2,1
EMP0951,48,F,Viúvo(a),Technical Degree,Remoto,2020-05-21,,,Data Scientist,7417,2022-12-29,2021-12-20,2024-09-21,6.7,False,3,7,5.6,0
EMP1814,39,Outro,Viúvo(a),Master,Presencial,2020-05-22,,,DevOps Engineer,22105,2023-09-29,2020-12-30,2024-03-25,8.5,True,1,2,8.6,0
EMP0016,38,Outro,Solteiro(a),Master,Remoto,2020-05-22,,,DevOps Engineer,10855,2020-08-23,2024-02-05,2021-08-31,9.6,True,2,5,5.4,0
EMP0130,50,M,Viúvo(a),Technical Degree,Remoto,2020-05-23,,,UX Designer,5526,2024-02-12,2022-03-30,2023-11-20,7.9,False,7,1,6.5,0
EMP1804,48,F,Casado(a),Bachelor,Presencial,2020-05-25,,,UX Designer,12344,2022-02-02,2023-05-21,2022-12-25,7.5,True,8,4,9.8,0
EMP0060,39,F,Divorciado(a),PhD,Presencial,2020-05-25,2023-05-12,Involuntária,Junior Developer,14550,2021-09-24,2021-12-16,2023-02-13,7.6,True,3,1,9.5,1
EMP1145,24,M,Solteiro(a),Master,Híbrido,2020-05-25,,,Junior Developer,21581,2023-01-17,2021-06-27,2023-03-15,8.8,False,1,7,1.1,0
EMP0058,47,F,Casado(a),Master,Remoto,2020-05-25,,,Senior Developer,9363,2024-05-13,2023-12-08,2020-09-22,9.3,False,5,6,8.9,0
EMP1631,29,M,Viúvo(a),Bachelor,Presencial,2020-05-26,,,UX Designer,24575,2021-11-22,2024-10-02,2022-10-23,8.1,False,1,2,2.5,0
EMP1488,48,F,Solteiro(a),Technical Degree,Presencial,2020-05-26,,,Junior Developer,23882,2020-11-04,2021-04-22,2022-04-29,9.8,True,6,1,1.3,0
EMP1534,33,F,Solteiro(a),Master,Híbrido,2020-05-26,,,Data Scientist,13456,2023-06-12,2023-01-13,2021-06-01,7.5,True,4,7,2.7,0
EMP0415,38,Outro,Solteiro(a),Bachelor,Híbrido,2020-05-27,,,Senior Developer,9815,2022-08-18,2024-07-24,2020-08-21,6.8,False,5,6,3.5,0
EMP1022,36,Outro,Viúvo(a),Bachelor,Híbrido,2020-05-28,2022-08-01,Voluntária,Product Manager,22133,2022-05-19,2022-04-06,2021-07-07,6.6,False,7,1,7.6,1
EMP0712,51,F,Viúvo(a),Master,Híbrido,2020-05-29,,,QA Engineer,8377,2021-06-18,2024-09-04,2023-09-14,6.4,True,8,2,9.1,0
EMP1041,42,F,Casado(a),Master,Remoto,2020-05-30,,,DevOps Engineer,15247,2020-08-06,2022-01-23,2020-07-10,8.4,True,2,3,2.4,0
EMP0367,29,Outro,Viúvo(a),PhD,Remoto,2020-05-30,,,Data Scientist,5861,2020-11-11,2022-03-20,2023-10-27,6.1,False,7,4,4.2,0
EMP0230,44,F,Viúvo(a),Bachelor,Presencial,2020-05-31,2023-09-24,Voluntária,Senior Developer,10075,2020-09-17,2021-04-06,2021-04-01,9.9,False,9,3,6.7,1
EMP0805,23,F,Viúvo(a),PhD,Presencial,2020-05-31,,,Tech Lead,6211,2022-12-06,2023-10-07,2023-02-06,8.1,False,8,1,8.3,0
